local_name,geo_lat,geo_lng,country,province,gmt,full_text
ulaangom,49.98331728,92.0666178,Mongolia,Uvs,8,ulaangom - Uvs - Mongolia
podgorica,42.46597251,19.26630692,Montenegro,Podgorica,1,podgorica - Podgorica - Montenegro
settat,33.01042564,-7.62001062,Morocco,Chaouia - Ouardigha,0,settat - Chaouia - Ouardigha - Morocco
el jadida,33.2603587,-8.50998213,Morocco,Doukkala - Abda,0,el jadida - Doukkala - Abda - Morocco
safi,32.31997683,-9.23998925,Morocco,Doukkala - Abda,0,safi - Doukkala - Abda - Morocco
fez,34.05459963,-5.00037723,Morocco,F?s - Boulemane,0,fez - F?s - Boulemane - Morocco
ouezzane,34.81034161,-5.57000655,Morocco,Gharb - Chrarda - B?ni Hssen,0,ouezzane - Gharb - Chrarda - B?ni Hssen - Morocco
kenitra,34.27040041,-6.57999658,Morocco,Gharb - Chrarda - B?ni Hssen,0,kenitra - Gharb - Chrarda - B?ni Hssen - Morocco
casablanca,33.59997622,-7.61636743,Morocco,Grand Casablanca,0,casablanca - Grand Casablanca - Morocco
tan tan,28.43039512,-11.1000307,Morocco,Guelmim - Es-Semara,0,tan tan - Guelmim - Es-Semara - Morocco
